ReactionID,Equation
EX_protein_RSc0246_e_,RSc0246_e --> RSc0246_b
BPNT,h2o_c + pap_c --> amp_c + pi_c
EX_T3SS_E_RipH1_e_,RipH1_e <=> RipH1_b
C8HSLS,amet_c + ocACP_c --> 5mta_c + ACP_c + h_c + ochslac_c
CBPS,2.0 atp_c + gln_L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu_L_c + 2.0 h_c + pi_c
EX_his_L_e_,his_L_e <=> his_L_b
23PDE2pp,23cump_p + h2o_p --> 3ump_p + h_p
IND3ACLNtpp,ind3acnl_c <=> ind3acnl_p
MOBDabcpp,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c
NADH5,h_c + nadh_c + q8_c --> nad_c + q8h2_c
AHLACYC10,dcahslac_p + h2o_p --> dca_p + hslac_p
EX_T3SS_E_RipA2_e_,RipA2_e <=> RipA2_b
GLNGLUabcpp,atp_c + gln_L_glu_L_p + h2o_c --> adp_c + gln_L_glu_L_c + h_c + pi_c
ARGabcpp,arg_L_p + atp_c + h2o_c --> adp_c + arg_L_c + h_c + pi_c
PACCOAE,h_c + nadph_c + o2_c + phaccoa_c --> h2o_c + nadp_c + rephaccoa_c
Fusartex,fusar_e <=> fusar_p
PROT_PglA_BioS,53.0 alatrna_c + 15.0 argtrna_c + 38.0 asntrna_c + 29.0 asptrna_c + 1765.044 atp_c + 8.0 cystrna_c + 10.0 glntrna_c + 6.0 glutrna_c + 60.0 glytrna_c + 1765.044 h2o_c + 10.0 histrna_c + 27.0 iletrna_c + 35.0 leutrna_c + 21.0 lystrna_c + 5.0 mettrna_c + 20.0 phetrna_c + 28.0 protrna_c + 47.0 sertrna_c + 57.0 thrtrna_c + 5.0 trptrna_c + 13.0 tyrtrna_c + 44.0 valtrna_c --> PglA_c + 1765.044 adp_c + 1765.044 h_c + 1765.044 pi_c + 53.0 trnaala_c + 15.0 trnaarg_c + 67.0 trnaasp_c + 8.0 trnacys_c + 10.0 trnagln_c + 6.0 trnaglu_c + 60.0 trnagly_c + 10.0 trnahis_c + 27.0 trnaile_c + 35.0 trnaleu_c + 21.0 trnalys_c + 5.0 trnamet_c + 20.0 trnaphe_c + 28.0 trnapro_c + 47.0 trnaser_c + 57.0 trnathr_c + 5.0 trnatrp_c + 13.0 trnatyr_c + 44.0 trnaval_c
NTRLASE3,acybut_c + 2.0 h2o_c --> glu_L_c + nh4_c
NTRLASE2,aprop_c + 2.0 h2o_c --> ala_L_c + nh4_c
ILETA,akg_c + ile_L_c <=> 3mop_c + glu_L_c
LDH_D,lac_D_c + nad_c <=> h_c + nadh_c + pyr_c
GLCGSD_e_,14aglucan_e + 11.0 h2o_e --> 12.0 glc_D_e
VNTDM,h_c + nadh_c + o2_c + vanlt_c --> 34dhbz_c + fald_c + h2o_c + nad_c
EX_pencil_e_,pencil_e <=> pencil_b
EX_T3SS_E_RipAS_e_,RipAS_e <=> RipAS_b
PROT_RSc3151_BioS,86.0 alatrna_c + 51.0 argtrna_c + 27.0 asntrna_c + 37.0 asptrna_c + 2350.068 atp_c + 2.0 cystrna_c + 21.0 glntrna_c + 29.0 glutrna_c + 65.0 glytrna_c + 2350.068 h2o_c + 11.0 histrna_c + 30.0 iletrna_c + 64.0 leutrna_c + 14.0 lystrna_c + 12.0 mettrna_c + 30.0 phetrna_c + 46.0 protrna_c + 51.0 sertrna_c + 44.0 thrtrna_c + 9.0 trptrna_c + 25.0 tyrtrna_c + 53.0 valtrna_c --> RSc3151_c + 2350.068 adp_c + 2350.068 h_c + 2350.068 pi_c + 86.0 trnaala_c + 51.0 trnaarg_c + 64.0 trnaasp_c + 2.0 trnacys_c + 21.0 trnagln_c + 29.0 trnaglu_c + 65.0 trnagly_c + 11.0 trnahis_c + 30.0 trnaile_c + 64.0 trnaleu_c + 14.0 trnalys_c + 12.0 trnamet_c + 30.0 trnaphe_c + 46.0 trnapro_c + 51.0 trnaser_c + 44.0 trnathr_c + 9.0 trnatrp_c + 25.0 trnatyr_c + 53.0 trnaval_c
EX_T3SS_E_RipAH_e_,RipAH_e <=> RipAH_b
SUCRtex,sucr_e <=> sucr_p
cafeteff,cafe_p + h_p --> cafe_b + h_c
TARTRt2rpp,h_p + tartr_L_p <=> h_c + tartr_L_c
EX_dha_e_,dha_e <=> dha_b
DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c
LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c
T3SS_E_RipC1_S,RipC1_c + 943.0 atp_c + 943.0 h2o_c --> RipC1_e + 943.0 adp_c + 943.0 h_c + 943.0 pi_c
THRt2rpp,h_p + thr_L_p <=> h_c + thr_L_c
NGAME,atp_c + h2o_c --> adp_c + h_c + pi_c
NMNATr,atp_c + h_c + nmn_c <=> nad_c + ppi_c
PHEt2rpp,h_p + phe_L_p <=> h_c + phe_L_c
EX_glu_L_e_,glu_L_e <=> glu_L_b
SARCOX,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c
HDCEAtex,hdcea_e <=> hdcea_p
PCW_bd_RSc3188,PCW_e + RSc3188_e --> PCW_RSc3188_LPS_e
T3SS_E_RipAD_BioS,81.0 alatrna_c + 71.0 argtrna_c + 15.0 asntrna_c + 31.0 asptrna_c + 2153.952 atp_c + 12.0 cystrna_c + 36.0 glntrna_c + 30.0 glutrna_c + 41.0 glytrna_c + 2153.952 h2o_c + 18.0 histrna_c + 13.0 iletrna_c + 99.0 leutrna_c + 2.0 lystrna_c + 15.0 mettrna_c + 8.0 phetrna_c + 49.0 protrna_c + 36.0 sertrna_c + 40.0 thrtrna_c + 8.0 trptrna_c + 5.0 tyrtrna_c + 38.0 valtrna_c --> RipAD_c + 2153.952 adp_c + 2153.952 h_c + 2153.952 pi_c + 81.0 trnaala_c + 71.0 trnaarg_c + 46.0 trnaasp_c + 12.0 trnacys_c + 36.0 trnagln_c + 30.0 trnaglu_c + 41.0 trnagly_c + 18.0 trnahis_c + 13.0 trnaile_c + 99.0 trnaleu_c + 2.0 trnalys_c + 15.0 trnamet_c + 8.0 trnaphe_c + 49.0 trnapro_c + 36.0 trnaser_c + 40.0 trnathr_c + 8.0 trnatrp_c + 5.0 trnatyr_c + 38.0 trnaval_c
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
FUM,fum_c + h2o_c <=> mal_L_c
NT_DNAf_30kb_pc,DNAf_30kb_p --> DNAf_30kb_c
TYRTRS,atp_c + trnatyr_c + tyr_L_c --> amp_c + ppi_c + tyrtrna_c
GLCRD,glcr_c --> 5dh4dglc_c + h2o_c
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c
GLCS1,11.0 adpglc_c + glc_D_c --> 14aglucan_c + 11.0 adp_c + 11.0 h_c
GNIDpp,gnid_c <=> gnid_p
PGP161abcpp,atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_p + pi_c
CLPNS180pp,2.0 pg180_p <=> clpn180_p + glyc_p
EX_glyc_R_e_,glyc_R_e <=> glyc_R_b
3OAS180,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c
4NPHP1pp,h2o_p + ntphp_p --> 4nph_p + pi_p
EX_protein_RSc3151_e_,RSc3151_e --> RSc3151_b
PROT_RSc0104_ACT,RSc0104_e + ca2__e --> RSc0104_act_e
2OXBUTOR,2obut_c + coa_c + 2.0 fdox_c --> co2_c + 2.0 fdred_c + h_c + ppcoa_c
MALCOAMT,amet_c + malcoa_c --> ahcys_c + malcoame_c
EPStex,EPS_p <=> EPS_e
LPLIPAL1A181pp,1odec11eg3p_p + h2o_p --> glyc3p_p + h_p + ocdcea_p
Tomtex,tom_e <=> tom_p
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
GLU5K,atp_c + glu_L_c --> adp_c + glu5p_c
PROT_RSp0294_BioS,55.0 alatrna_c + 28.0 argtrna_c + 29.0 asntrna_c + 52.0 asptrna_c + 1957.836 atp_c + 22.0 glntrna_c + 25.0 glutrna_c + 75.0 glytrna_c + 1957.836 h2o_c + 6.0 histrna_c + 37.0 iletrna_c + 43.0 leutrna_c + 17.0 lystrna_c + 7.0 mettrna_c + 20.0 phetrna_c + 32.0 protrna_c + 46.0 sertrna_c + 29.0 thrtrna_c + 5.0 trptrna_c + 19.0 tyrtrna_c + 42.0 valtrna_c --> RSp0294_c + 1957.836 adp_c + 1957.836 h_c + 1957.836 pi_c + 55.0 trnaala_c + 28.0 trnaarg_c + 81.0 trnaasp_c + 22.0 trnagln_c + 25.0 trnaglu_c + 75.0 trnagly_c + 6.0 trnahis_c + 37.0 trnaile_c + 43.0 trnaleu_c + 17.0 trnalys_c + 7.0 trnamet_c + 20.0 trnaphe_c + 32.0 trnapro_c + 46.0 trnaser_c + 29.0 trnathr_c + 5.0 trnatrp_c + 19.0 trnatyr_c + 42.0 trnaval_c
AIRC2r,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c
IADtpp,iad_c <=> iad_p
EX_xylu_D_e_,xylu_D_e <=> xylu_D_b
EX_PCW_adhesin_e_,PCW_RSp1073_LPS_e --> PCW_RSp1073_LPS_b
PSGlcNAcDA,PS_GlcNAc_p + h2o_p --> PS_PGA_p + ac_p
EX_protein_RSc0887_e_,RSc0887_e --> RSc0887_b
EX_16aglucan_e_,16aglucan_e <=> 16aglucan_b
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c
NT5C,h2o_c + nicrnt_c --> nicrns_c + pi_c
NADK2,datp_c + nad_c --> dadp_c + h_c + nadp_c
NADK1,gtp_c + nad_c --> gdp_c + h_c + nadp_c
EX_PCW_RSc3188_e_,PCW_RSc3188_LPS_e --> PCW_RSc3188_LPS_b
PROT_pe_RSp1620_S,RSp1620_p + 1309.0 atp_c + 1309.0 h2o_c --> RSp1620_e + 1309.0 adp_c + 1309.0 h_c + 1309.0 pi_c
ALKPpp,dhap_p + h2o_p --> dha_p + pi_p
BUTSO3abcpp,atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c
DALAtex,ala_D_e <=> ala_D_p
TMPPP,2mahmp_c + 4mpetz_c + h_c <=> ppi_c + thmmp_c
DSBAO1,dsbard_p + q8_c --> dsbaox_p + q8h2_c
GLCURtex,glcur_e <=> glcur_p
EX_gln_L_e_,gln_L_e <=> gln_L_b
T3SS_E_RipAG_BioS,13.0 alatrna_c + 9.0 argtrna_c + 3.0 asntrna_c + 5.0 asptrna_c + 325.752 atp_c + cystrna_c + 10.0 glntrna_c + 5.0 glutrna_c + 10.0 glytrna_c + 325.752 h2o_c + 3.0 histrna_c + 2.0 iletrna_c + 5.0 leutrna_c + 3.0 lystrna_c + 2.0 mettrna_c + phetrna_c + 5.0 protrna_c + 9.0 sertrna_c + 5.0 thrtrna_c + 2.0 tyrtrna_c + 5.0 valtrna_c --> RipAG_c + 325.752 adp_c + 325.752 h_c + 325.752 pi_c + 13.0 trnaala_c + 9.0 trnaarg_c + 8.0 trnaasp_c + trnacys_c + 10.0 trnagln_c + 5.0 trnaglu_c + 10.0 trnagly_c + 3.0 trnahis_c + 2.0 trnaile_c + 5.0 trnaleu_c + 3.0 trnalys_c + 2.0 trnamet_c + trnaphe_c + 5.0 trnapro_c + 9.0 trnaser_c + 5.0 trnathr_c + 2.0 trnatyr_c + 5.0 trnaval_c
XPPT,prpp_c + xan_c --> ppi_c + xmp_c
FCLT,fe2_c + ppp9_c --> 2.0 h_c + pheme_c
METALAabcpp,atp_c + h2o_c + met_L_ala_L_p --> adp_c + h_c + met_L_ala_L_c + pi_c
THRAr,thr_L_c --> acald_c + gly_c
BRSUCCDEH,bromosucc_c + h2o_c --> br_c + h_c + mal_L_c
ADSL2r,25aics_c <=> aicar_c + fum_c
TAURabcpp,atp_c + h2o_c + taur_p --> adp_c + h_c + pi_c + taur_c
T3SS_E_RipAU_BioS,37.0 alatrna_c + 24.0 argtrna_c + 2.0 asntrna_c + 20.0 asptrna_c + 910.776 atp_c + cystrna_c + 7.0 glntrna_c + 17.0 glutrna_c + 25.0 glytrna_c + 910.776 h2o_c + 4.0 histrna_c + 10.0 iletrna_c + 24.0 leutrna_c + 14.0 lystrna_c + 2.0 mettrna_c + 7.0 phetrna_c + 27.0 protrna_c + 20.0 sertrna_c + 10.0 thrtrna_c + 3.0 trptrna_c + 6.0 tyrtrna_c + 14.0 valtrna_c --> RipAU_c + 910.776 adp_c + 910.776 h_c + 910.776 pi_c + 37.0 trnaala_c + 24.0 trnaarg_c + 22.0 trnaasp_c + trnacys_c + 7.0 trnagln_c + 17.0 trnaglu_c + 25.0 trnagly_c + 4.0 trnahis_c + 10.0 trnaile_c + 24.0 trnaleu_c + 14.0 trnalys_c + 2.0 trnamet_c + 7.0 trnaphe_c + 27.0 trnapro_c + 20.0 trnaser_c + 10.0 trnathr_c + 3.0 trnatrp_c + 6.0 trnatyr_c + 14.0 trnaval_c
EX_4hbz_e_,4hbz_e <=> 4hbz_b
ALAASPabcpp,ala_L_asp_L_p + atp_c + h2o_c --> adp_c + ala_L_asp_L_c + h_c + pi_c
HISTADH,h2o_c + hista_c + nad_c --> h_c + im4act_c + nadh_c + nh4_c
EX_galur3u_e_,galur3u_e <=> galur3u_b
AMPN,amp_c + h2o_c --> ade_c + r5p_c
3OAS160,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c
EX_cit_e_,cit_e <=> cit_b
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c
PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c
HEXHSLACtex,hexhslac_e <=> hexhslac_p
EX_ocdca_e_,ocdca_e <=> ocdca_b
DAPE,26dap_LL_c <=> 26dap_M_c
EX_12dgr181_e_,12dgr181_e <=> 12dgr181_b
ORPT,orot5p_c + ppi_c <=> orot_c + prpp_c
EX_fer_e_,fer_e <=> fer_b
PE120abcpp,atp_c + h2o_c + pe120_c --> adp_c + h_c + pe120_p + pi_c
TUNGSabcpp,atp_c + h2o_c + tungs_p --> adp_c + h_c + pi_c + tungs_c
EX_protein_PglA_e_,PglA_e --> PglA_b
RALFtex,ralf_e <=> ralf_p
EX_ddca_e_,ddca_e <=> ddca_b
T3SS_E_RipM_S,RipM_c + 584.0 atp_c + 584.0 h2o_c --> RipM_e + 584.0 adp_c + 584.0 h_c + 584.0 pi_c
ADSL1r,dcamp_c <=> amp_c + fum_c
CRNt2rpp,crn_p + h_p <=> crn_c + h_c
C6HSLS,amet_c + hexACP_c --> 5mta_c + ACP_c + h_c + hexhslac_c
MACACI,4mlacac_c <=> 4fumacac_c
ACSERtpp,acser_c --> acser_p
EX_DNAf_30kb_e_,DNAf_30kb_e <=> DNAf_30kb_b
T3SS_E_RipG5_S,RipG5_c + 538.0 atp_c + 538.0 h2o_c --> RipG5_e + 538.0 adp_c + 538.0 h_c + 538.0 pi_c
MI4PP,h2o_c + mi4p_D_c --> inost_c + pi_c
2DHGLCNtex,2dhglcn_e <=> 2dhglcn_p
DHNPA2,dhnpt_c --> 6hmhpt_c + gcald_c
G1DH,glc_D_c + nadp_c <=> g15l_c + h_c + nadph_c
PCW_bd_Rsl2,PCW_D_Mannose_e + Rsl2_e --> PCW_D_Mannose_Rsl2_e
GBEZ,14aglucan_c --> glycogen_c + h2o_c
EX_ppa_e_,ppa_e <=> ppa_b
DM_im4ac,im4ac_c --> im4ac_b
ECOAH12,2mp2coa_c + h2o_c --> 3hibutcoa_c
EX_protein_Mel_e_,Mel_e --> Mel_b
TZEAtex,tzea_e <=> tzea_p
EX_orot_e_,orot_e <=> orot_b
SULDDH,2.0 ficytc_c + h2s_p --> Ss_p + 2.0 focytc_c + 2.0 h_p
PROT_pe_Egl_S,Egl_p + 420.0 atp_c + 420.0 h2o_c --> Egl_e + 420.0 adp_c + 420.0 h_c + 420.0 pi_c
PROT_RSp0294_ACT,RSp0294_e + ca2__e --> RSp0294_act_e
I2FE2ST,4.0 h_c + iscu_DASH_2fe2s_c --> 2fe2s_c + iscu_c
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c
EX_T3SS_E_RipAX1_e_,RipAX1_e <=> RipAX1_b
3OAS141,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c
EX_T6SS_E_RSc3430_e_,RSc3430_e --> RSc3430_b
I2FE2SR,2fe1s_c + iscssh_c + iscu_c --> 4.0 h_c + iscs_c + iscu_DASH_2fe2s_c
I2FE2SS,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_DASH_2fe2s_c
3HOXIDtex,3hoxid_e <=> 3hoxid_p
EX_galct_D_e_,galct_D_e <=> galct_D_b
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c
T3SS_E_RipAM_S,RipAM_c + 154.0 atp_c + 154.0 h2o_c --> RipAM_e + 154.0 adp_c + 154.0 h_c + 154.0 pi_c
FMETTRS,10fthf_c + mettrna_c --> fmettrna_c + h_c + thf_c
SPODM,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c
NTD11,h2o_c + imp_c --> ins_c + pi_c
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c
2AMSADC,2amsa_c + h_c --> aacald_c + co2_c
ACPYRH,fumpyr_c + h2o_c --> fum_c + h_c + pyr_c
NTD12,dimp_c + h2o_c --> din_c + pi_c
T3SS_E_RipP1_S,RipP1_c + 368.0 atp_c + 368.0 h2o_c --> RipP1_e + 368.0 adp_c + 368.0 h_c + 368.0 pi_c
ASPVALabcpp,asp_L_val_L_p + atp_c + h2o_c --> adp_c + asp_L_val_L_c + h_c + pi_c
PROT_pe_PehB_S,PehB_p + 702.0 atp_c + 702.0 h2o_c --> PehB_e + 702.0 adp_c + 702.0 h_c + 702.0 pi_c
23CUMPtex,23cump_e <=> 23cump_p
ALATA_D2,ala_D_c + pydx5p_c --> pyam5p_c + pyr_c
PROT_pe_Pme_S,Pme_p + 439.0 atp_c + 439.0 h2o_c --> Pme_e + 439.0 adp_c + 439.0 h_c + 439.0 pi_c
BRtex,br_e <=> br_p
DHCINDO,dhcinnm_c + o2_c --> h_c + hkntd_c
GLYCTO2,glyclt_c + q8_c --> glx_c + q8h2_c
PROT_cp_RSp0275_S,RSp0275_c + 401.0 atp_c + 401.0 h2o_c --> RSp0275_p + 401.0 adp_c + 401.0 h_c + 401.0 pi_c
PROT_cp_PglA_S,PglA_c + 531.0 atp_c + 531.0 h2o_c --> PglA_p + 531.0 adp_c + 531.0 h_c + 531.0 pi_c
T3SS_E_RipE1_S,RipE1_c + 425.0 atp_c + 425.0 h2o_c --> RipE1_e + 425.0 adp_c + 425.0 h_c + 425.0 pi_c
LPADSS,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
SDPTA,akg_c + sl26da_c <=> glu_L_c + sl2a6o_c
Kabcpp,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c
LPSabctex,Oantigen_core_kdo_lipidA_RS_p + atp_c + h2o_c --> Oantigen_core_kdo_lipidA_RS_e + adp_c + h_c + pi_c
EX_h2o2_e_,h2o2_e <=> h2o2_b
CRNtex,crn_e <=> crn_p
EAR181x,h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c
PGP141abcpp,atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_p + pi_c
PROT_cp_Tek2_S,Tek2_c + 517.0 atp_c + 517.0 h2o_c --> Tek2_p + 517.0 adp_c + 517.0 h_c + 517.0 pi_c
PPLCc180,h2o_e + pc180_e --> 12dgr180_e + cholp_e + h_c
PPLCc181,h2o_e + pc181_e --> 12dgr181_e + cholp_e + h_c
T3SS_E_RipS1_BioS,338.0 alatrna_c + 215.0 argtrna_c + 60.0 asntrna_c + 130.0 asptrna_c + 7821.372 atp_c + 22.0 cystrna_c + 126.0 glntrna_c + 133.0 glutrna_c + 171.0 glytrna_c + 7821.372 h2o_c + 61.0 histrna_c + 59.0 iletrna_c + 293.0 leutrna_c + 84.0 lystrna_c + 55.0 mettrna_c + 58.0 phetrna_c + 149.0 protrna_c + 98.0 sertrna_c + 107.0 thrtrna_c + 36.0 trptrna_c + 40.0 tyrtrna_c + 118.0 valtrna_c --> RipS1_c + 7821.372 adp_c + 7821.372 h_c + 7821.372 pi_c + 338.0 trnaala_c + 215.0 trnaarg_c + 190.0 trnaasp_c + 22.0 trnacys_c + 126.0 trnagln_c + 133.0 trnaglu_c + 171.0 trnagly_c + 61.0 trnahis_c + 59.0 trnaile_c + 293.0 trnaleu_c + 84.0 trnalys_c + 55.0 trnamet_c + 58.0 trnaphe_c + 149.0 trnapro_c + 98.0 trnaser_c + 107.0 trnathr_c + 36.0 trnatrp_c + 40.0 trnatyr_c + 118.0 trnaval_c
4HBZtex,4hbz_e <=> 4hbz_p
SO4t2pp,h_p + so4_p --> h_c + so4_c
THRPS,atp_c + thr_L_c --> adp_c + h_c + thrp_c
PRMICI,prfp_c <=> prlp_c
PRFGS,atp_c + fgam_c + gln_L_c + h2o_c --> adp_c + fpram_c + glu_L_c + h_c + pi_c
ASPALAtex,asp_L_ala_L_e <=> asp_L_ala_L_p
PROT_RSc0249_ACT,RSc0249_e + ca2__e --> RSc0249_act_e
2AGPE160tipp,2agpe160_p --> 2agpe160_c
EX_PHB_storage_c,pbhb_c --> pbhb_b
EX_ala_L_asp_L_e_,ala_L_asp_L_e <=> ala_L_asp_L_b
PTRCTA,akg_c + ptrc_c --> 4abutn_c + glu_L_c
PCW_bd_RSp0294_act,PCW_e + RSp0294_act_e --> PCW_RSp0294_act_e
ASPTRS,asp_L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c
THRPD,h_c + thrp_c --> applp_c + co2_c
MOGDS,gtp_c + h_c + moco_c --> mocogdp_c + ppi_c
PRAI,pran_c <=> 2cpr5p_c
BZALDD2,3hbzald_c + h2o_c + nad_c --> 3hbenzot_c + 2.0 h_c + nadh_c
BZALDD3,h2o_c + mbzald_c + nadp_c --> 2.0 h_c + nadph_c + otolat_c
LAAO6ex,h2o_e + o2_e + trp_L_e <=> h2o2_e + indpyr_e + nh4_e
EX_LpdDam1,peroxyl_lpd_c --> peroxyl_lpd_b
GENTCOAH,gentscoa_c + h2o_c --> coa_c + gensa_c + h_c
EX_LpdDam2,lpd_lpd_c --> lpd_lpd_b
GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c
GLUNpp,gln_L_p + h2o_p --> glu_L_p + nh4_p
BZALDD4,3mbzald_c + h2o_c + nadp_c --> 2.0 h_c + mtolat_c + nadph_c
BZALDD5,h2o_c + nadp_c + ptolald_c --> 2.0 h_c + m_tol_c + nadph_c
COLIPAabcpp,atp_c + colipa_c + h2o_c --> adp_c + colipa_p + h_c + pi_c
FACOAL161t2pp,atp_c + coa_c + h_p + hdcea_p --> amp_c + h_c + hdcoa_c + ppi_c
LYSt2pp,h_p + lys_L_p --> h_c + lys_L_c
5OXPROtex,5oxpro_e <=> 5oxpro_p
T3SS_E_RipG3_S,RipG3_c + 603.0 atp_c + 603.0 h2o_c --> RipG3_e + 603.0 adp_c + 603.0 h_c + 603.0 pi_c
EX_T3SS_E_RipA5_e_,RipA5_e <=> RipA5_b
EX_T3SS_E_RipG2_e_,RipG2_e <=> RipG2_b
EX_g3pi_e_,g3pi_e <=> g3pi_b
ONOOf_c,h_c + onoo_c --> no2r_c + ohr_c
TSULtex,tsul_e <=> tsul_p
CCGS,atp_c + cdg_c + nh4_c --> adp_c + h2o_c + h_c + pi_c + preq0_c
T3SS_E_RipS6_S,RipS6_c + 848.0 atp_c + 848.0 h2o_c --> RipS6_e + 848.0 adp_c + 848.0 h_c + 848.0 pi_c
ACCSYN1,accoa_c + amp_c + h_c <=> acade_c + coa_c
ACCSYN2,acade_c + ppi_c <=> ac_c + atp_c + h_c
PACt3,na1_p + pac_p <=> na1_c + pac_c
PPLCc160,h2o_e + pc160_e --> 12dgr160_e + cholp_e + h_c
PTRCt2pp,h_p + ptrc_p <=> h_c + ptrc_c
PPLCc161,h2o_e + pc161_e --> 12dgr161_e + cholp_e + h_c
PROT_cp_RSp1536_S,RSp1536_c + 846.0 atp_c + 846.0 h2o_c --> RSp1536_p + 846.0 adp_c + 846.0 h_c + 846.0 pi_c
EGMEACPR,egmeACP_c + h_c + nadph_c --> gmeACP_c + nadp_c
CHTBSabcpp,atp_c + chtbs_p + h2o_c --> adp_c + chtbs_c + h_c + pi_c
EX_phe_L_e_,phe_L_e <=> phe_L_b
EX_T3SS_E_RipAK_e_,RipAK_e <=> RipAK_b
KDOPS,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c
EX_asp_L_val_L_e_,asp_L_val_L_e <=> asp_L_val_L_b
MLTGY3pp,murein3p3p_p --> 2.0 anhgm3p_p
T3SS_E_RipAK_S,RipAK_c + 809.0 atp_c + 809.0 h2o_c --> RipAK_e + 809.0 adp_c + 809.0 h_c + 809.0 pi_c
KDOPP,h2o_c + kdo8p_c --> kdo_c + pi_c
PROT_RSp1466_BioS,19.0 alatrna_c + 2.0 argtrna_c + 6.0 asntrna_c + 2.0 asptrna_c + 378.936 atp_c + 2.0 cystrna_c + 12.0 glntrna_c + 8.0 glytrna_c + 378.936 h2o_c + 2.0 histrna_c + 4.0 iletrna_c + 5.0 leutrna_c + 9.0 lystrna_c + 2.0 mettrna_c + 7.0 phetrna_c + 4.0 protrna_c + 7.0 sertrna_c + 9.0 thrtrna_c + 3.0 trptrna_c + 3.0 tyrtrna_c + 8.0 valtrna_c --> RSp1466_c + 378.936 adp_c + 378.936 h_c + 378.936 pi_c + 19.0 trnaala_c + 2.0 trnaarg_c + 8.0 trnaasp_c + 2.0 trnacys_c + 12.0 trnagln_c + 8.0 trnagly_c + 2.0 trnahis_c + 4.0 trnaile_c + 5.0 trnaleu_c + 9.0 trnalys_c + 2.0 trnamet_c + 7.0 trnaphe_c + 4.0 trnapro_c + 7.0 trnaser_c + 9.0 trnathr_c + 3.0 trnatrp_c + 3.0 trnatyr_c + 8.0 trnaval_c
FUMt2_2pp,fum_p + 2.0 h_p --> fum_c + 2.0 h_c
NTRLASE,2.0 h2o_c + ind3acnl_c --> ind3ac_c + nh4_c
AHLACY3OC8,3oochslac_p + h2o_p --> 3oocta_p + hslac_p
METabcpp,atp_c + h2o_c + met_L_p --> adp_c + h_c + met_L_c + pi_c
HG2t3pp,h_p + hg2_c --> h_c + hg2_b
ME2,mal_L_c + nadp_c --> co2_c + nadph_c + pyr_c
DHAD2,23dhmp_c --> 3mop_c + h2o_c
NADS2,atp_c + dnad_c + gln_L_c + h2o_c --> amp_c + glu_L_c + h_c + nad_c + ppi_c
UPP3S,hmbil_c --> h2o_c + uppg3_c
EX_T3SS_E_RipK_e_,RipK_e <=> RipK_b
DHAD1,23dhmb_c --> 3mob_c + h2o_c
